Kirjauspäivä;Määrä;Maksaja;Maksunsaaja;Nimi;Otsikko;Viitenumero;Valuutta
15.11.2021;-518,00;FI17 1612 3500 0016 90;;;Kotova Oy;;EUR
15.11.2021;-76,50;FI17 1612 3500 0016 90;;;AVARDA OY;;EUR
11.11.2021;-21,80;FI17 1612 3500 0016 90;;;BANGKOK 9;;EUR
10.11.2021;-30,90;FI17 1612 3500 0016 90;;;YA;;EUR
10.11.2021;-29,95;FI17 1612 3500 0016 90;;;A-LEHDET OY;;EUR
10.11.2021;-10,00;FI17 1612 3500 0016 90;;;RAVINTOLA PISARA MASALA;;EUR
08.11.2021;-35,00;FI17 1612 3500 0016 90;;;HSL;;EUR
04.11.2021;-1,41;FI17 1612 3500 0016 90;;;K-market;;EUR
04.11.2021;-30,40;FI17 1612 3500 0016 90;;;ELISA OYJ / SAUNALAHTI;;EUR
03.11.2021;160,00;;FI17 1612 3500 0016 90;;LAINAN TAKAISINMAKSU;;EUR
02.11.2021;-6,03;FI17 1612 3500 0016 90;;;K-CITYMARKET;;EUR
29.10.2021;-23,86;FI17 1612 3500 0016 90;;;PRISMA;;EUR
29.10.2021;-20,80;FI17 1612 3500 0016 90;;;OPENRICE OY;;EUR
29.10.2021;-21,23;FI17 1612 3500 0016 90;;;Telia Finland Oyj;;EUR
27.10.2021;-10,90;FI17 1612 3500 0016 90;;;Annes Vege;;EUR
26.10.2021;-165,00;FI17 1612 3500 0016 90;;;Streetbrand Oy;;EUR
25.10.2021;-3,14;FI17 1612 3500 0016 90;;;ALEPA;;EUR
18.10.2021;-129,95;FI17 1612 3500 0016 90;;;REIMA;;EUR
17.10.2021;2464,60;;FI17 1612 3500 0016 90;;PALKKA;;EUR
